	M2-CAF_CTRL_rep1	M2-CAF_CTRL_rep2	M2-CAF_CTRL_rep3	M2-CAF_FOLFI_rep1	M2-CAF_FOLFI_rep2	M2-CAF_FOLFI_rep3	M2_CTRL_rep1	M2_CTRL_rep2	M2_CTRL_rep3	M2_FOLFI_rep1	M2_FOLFI_rep2	M2_FOLFI_rep3
DPM1	17.6269865684593	15.2080692069972	20.4343830780019	16.8889885726249	17.7088923997006	17.242429071128	22.8842406005265	19.8006033002781	19.9483787387584	18.2777512290593	18.1050096724595	17.8122277323368
SCYL3	7.17331404075195	6.3739701823444	6.40595581043616	7.62994599740074	8.06258515758728	7.02120747110342	7.29831816868342	6.04571266078951	6.84900205593734	8.61998232934778	6.64987084716193	7.42666040765199
FIRRM	1.79826880911412	1.93828333030356	2.43303129338681	2.06214756686507	1.51173471704761	1.93883208987574	2.0905668411574	2.32527410030366	2.18322944713684	2.32972495387778	1.90660632680866	1.66560985395889
FGR	337.363133068092	354.94813486184	330.245500746668	342.460846429281	345.071446007988	335.305009873365	493.355108737779	492.099546519648	491.895679791201	386.649625072661	400.542337274275	386.029577917531
CFH	2.66776142011436	3.28017178974449	3.55715334666046	3.0519783989603	3.68935258327096	3.2188377414442	0.298652405879628	0.321961029272814	0.211280269077758	0.677738168400808	0.759542357834346	0.705434761676706
FUCA2	115.9389351986	120.471763914252	122.467708077882	112.716986004844	110.554599605042	109.666366559379	91.3503046484313	89.4157325185999	85.1283417492468	96.0693853708146	92.2301434513134	90.8247255658759
GCLC	42.1703916335115	45.3073728458457	46.4431796256621	44.5630089199541	43.4443762732493	46.5884409945871	111.285352740897	113.723790228697	106.960636220615	85.6703403494147	89.191974019976	86.9644297867006
NFYA	38.1588689054876	35.7650549120436	37.6811871830223	37.4073568629323	34.6079269152686	37.4025180833311	37.6488689162007	36.381596307828	39.0868497793853	36.449605869306	34.6909346292503	35.3109289039285
STPG1	1.36352250361401	1.7891846125879	1.63228681708229	1.79406838317261	1.29577261461224	1.71294873959896	2.22122726872974	2.36104754800064	2.51775653984329	1.82142132757717	2.26312620905744	2.64538035628765
NIPAL3	16.6586879789363	14.5743996567056	18.2169368359278	21.4463346953967	21.4522355085804	21.9483322018943	17.2471764395485	18.2444583254595	18.5574503006631	25.8175883525183	25.2819099107718	26.1598724121779
LAS1L	19.6426285303235	19.3082839441778	17.9089581911953	15.5898356054999	15.8192240033911	16.0565414821749	24.078850224045	22.1437641244302	22.8182690603979	20.3956830053118	22.0577301060872	18.8507844648053
ENPP4	27.6459127906666	32.317147064869	28.5650192989401	21.1370125603669	22.7660049650623	26.6354117201377	14.9139545186139	14.6134533842161	14.9128656590718	14.5501913028549	14.8033255455469	14.5201988445122
CFTR	1.75874641770502	1.88237131116019	1.37050496905966	2.16525494520832	1.47574103330839	1.97647931492188	0.746631014699071	0.930109640121464	0.915547832670287	1.18604179470141	1.76709854679827	1.17572460279451
ANKIB1	28.5549277930759	31.1989066820016	33.5080765468968	36.1082038958073	35.7597247949239	40.5084141496369	31.358502617361	36.0059751070097	34.685177506932	36.7461163179813	38.5506498762045	35.9967682555586
CYP51A1	7.84519469470668	8.6477256275082	8.22302981435795	5.95960646824004	5.83097676575509	5.53414208178125	11.9834277859201	11.0182218906696	11.0922141265823	10.3990450213999	9.99805756741129	9.13146108170403
KRIT1	5.05886610036501	4.62206024918541	4.1269138394156	4.82542530646425	3.9773020531848	4.21648920516667	4.81577004480901	4.88307561063768	5.42286023966247	4.85006376761829	4.58825587589727	5.54550104318077
RAD52	7.39068719350201	8.44271489064917	8.33082234001433	9.13531372121224	9.05241146041607	9.05415762359449	10.1541817999074	9.51573708739651	9.84213920120558	10.1025345727246	11.2691284519504	10.9342388059889
BAD	6.89665730088824	7.17537579006607	7.12970562555755	8.18672584045431	8.15256936693535	8.47062563537946	6.66368180618921	6.56442765239571	5.96866760144668	7.43394053464637	7.36291061165948	7.40706499760541
LAP3	171.922402629592	164.623621697801	185.464739857916	159.54835724835	168.234477797156	159.699528645688	125.919320628998	122.881792839124	123.49331727595	112.652791178872	119.697675248915	107.872732306396
CD99	199.133569114759	199.400897604979	214.029759156856	202.605998444493	201.402657362855	202.975013836215	181.524665448712	184.805630802595	179.957969186981	207.536134754985	206.626523059833	199.892777885113
HS3ST1	112.836427472985	119.185787473955	121.004809515402	108.902013006144	108.089032268904	106.014585729905	36.1556068868025	31.3912003540994	32.1850276561785	45.7685056848171	45.2005207233664	46.539098860616
AOC1	12.2519413368215	11.2383158478178	11.0102365491871	12.5791001578769	13.6236092952981	11.8776995020543	14.9886176200838	15.4899028527921	15.7932001135624	25.118670866355	23.03428456616	27.2964061948792
MAD1L1	1.73898522200047	1.19278974172527	1.27811137563991	2.22711937221427	1.70969997761337	1.82589041473735	1.26927272498842	0.858562744727505	0.704267563592528	2.75331130912828	1.73609681790708	2.6845711763808
LASP1	571.296167818564	576.471554707879	591.011019241682	595.280138126938	599.402815309379	581.800215862908	624.57550957114	621.849841316592	614.350202410852	630.508289790377	633.597834213855	633.108103194797
SNX11	70.8636477965192	71.0828136709402	74.5000341607936	85.2698018898704	86.2408662391925	83.670957665026	49.1469865425663	45.2712980605274	45.6365381207958	62.5213460349746	66.0181816738057	65.9189593966789
TMEM176A	244.208856516839	245.174203943686	253.158445970121	238.343015778264	238.872082135393	238.363405379578	119.236973047442	115.136841412728	118.827544667149	150.013107711966	141.135370777178	145.515515005867
M6PR	282.762949336418	274.658475371958	290.500856643938	262.40827788358	258.506636615142	265.375289350177	294.620598400253	286.867277082078	289.260295056541	256.375641515368	251.796042054308	258.541840154513
ICA1	2.76656739863712	3.52245720603243	3.77273839797322	2.49519855590673	1.85367471257029	2.40942240295238	3.4531684429832	2.9513094350008	3.02835052344787	3.91817378606717	3.54969795804215	2.80214363666025
